"origin","flight_date","count"
MIA,2005-07-01,179
MIA,2005-07-02,187
MIA,2005-07-03,184
MIA,2005-07-04,180
MIA,2005-07-05,179
MIA,2005-07-06,181
MIA,2005-07-07,179
MIA,2005-07-08,179
MIA,2005-07-09,182
MIA,2005-07-10,186
MIA,2005-07-11,179
MIA,2005-07-12,179
MIA,2005-07-13,179
MIA,2005-07-14,182
MIA,2005-07-15,180
MIA,2005-07-16,188
MIA,2005-07-17,186
MIA,2005-07-18,182
MIA,2005-07-19,180
MIA,2005-07-20,178
MIA,2005-07-21,181
MIA,2005-07-22,181
MIA,2005-07-23,190
MIA,2005-07-24,187
MIA,2005-07-25,182
MIA,2005-07-26,181
MIA,2005-07-27,179
MIA,2005-07-28,180
MIA,2005-07-29,179
MIA,2005-07-30,188
MIA,2005-07-31,183
MIA,2005-08-01,183
MIA,2005-08-02,182
MIA,2005-08-03,182
MIA,2005-08-04,180
MIA,2005-08-05,184
MIA,2005-08-06,185
MIA,2005-08-07,187
MIA,2005-08-08,183
MIA,2005-08-09,181
MIA,2005-08-10,180
MIA,2005-08-11,183
MIA,2005-08-12,181
MIA,2005-08-13,186
MIA,2005-08-14,187
MIA,2005-08-15,183
MIA,2005-08-16,178
MIA,2005-08-17,182
MIA,2005-08-18,181
MIA,2005-08-19,185
MIA,2005-08-20,190
MIA,2005-08-21,187
MIA,2005-08-22,181
MIA,2005-08-23,168
MIA,2005-08-24,171
MIA,2005-08-25,117
MIA,2005-08-26,80
MIA,2005-08-27,158
MIA,2005-08-28,173
MIA,2005-08-29,169
MIA,2005-08-30,165
MIA,2005-08-31,169
MIA,2005-09-01,169
MIA,2005-09-02,169
MIA,2005-09-03,169
MIA,2005-09-04,169
MIA,2005-09-05,170
MIA,2005-09-06,169
MIA,2005-09-07,164
MIA,2005-09-08,166
MIA,2005-09-09,167
MIA,2005-09-10,170
MIA,2005-09-11,168
MIA,2005-09-12,166
MIA,2005-09-13,162
MIA,2005-09-14,164
MIA,2005-09-15,165
MIA,2005-09-16,164
MIA,2005-09-17,169
MIA,2005-09-18,169
MIA,2005-09-19,167
MIA,2005-09-20,60
MIA,2005-09-21,162
MIA,2005-09-22,165
MIA,2005-09-23,156
MIA,2005-09-24,161
MIA,2005-09-25,168
MIA,2005-09-26,166
MIA,2005-09-27,165
MIA,2005-09-28,165
MIA,2005-09-29,167
MIA,2005-09-30,165
MOB,2005-07-01,15
MOB,2005-07-02,12
MOB,2005-07-03,11
MOB,2005-07-04,14
MOB,2005-07-05,15
MOB,2005-07-06,11
MOB,2005-07-07,13
MOB,2005-07-08,14
MOB,2005-07-09,11
MOB,2005-07-10,0
MOB,2005-07-11,7
MOB,2005-07-12,14
MOB,2005-07-13,14
MOB,2005-07-14,12
MOB,2005-07-15,11
MOB,2005-07-16,10
MOB,2005-07-17,12
MOB,2005-07-18,13
MOB,2005-07-19,14
MOB,2005-07-20,14
MOB,2005-07-21,14
MOB,2005-07-22,13
MOB,2005-07-23,12
MOB,2005-07-24,13
MOB,2005-07-25,14
MOB,2005-07-26,14
MOB,2005-07-27,12
MOB,2005-07-28,13
MOB,2005-07-29,14
MOB,2005-07-30,11
MOB,2005-07-31,14
MOB,2005-08-01,15
MOB,2005-08-02,16
MOB,2005-08-03,16
MOB,2005-08-04,16
MOB,2005-08-05,15
MOB,2005-08-06,14
MOB,2005-08-07,16
MOB,2005-08-08,14
MOB,2005-08-09,15
MOB,2005-08-10,15
MOB,2005-08-11,16
MOB,2005-08-12,14
MOB,2005-08-13,14
MOB,2005-08-14,13
MOB,2005-08-15,15
MOB,2005-08-16,14
MOB,2005-08-17,16
MOB,2005-08-18,14
MOB,2005-08-19,16
MOB,2005-08-20,13
MOB,2005-08-21,16
MOB,2005-08-22,15
MOB,2005-08-23,14
MOB,2005-08-24,13
MOB,2005-08-25,16
MOB,2005-08-26,15
MOB,2005-08-27,12
MOB,2005-08-28,16
MOB,2005-08-29,0
MOB,2005-08-30,3
MOB,2005-08-31,8
MOB,2005-09-01,11
MOB,2005-09-02,12
MOB,2005-09-03,11
MOB,2005-09-04,10
MOB,2005-09-05,12
MOB,2005-09-06,13
MOB,2005-09-07,12
MOB,2005-09-08,12
MOB,2005-09-09,12
MOB,2005-09-10,11
MOB,2005-09-11,9
MOB,2005-09-12,9
MOB,2005-09-13,8
MOB,2005-09-14,9
MOB,2005-09-15,10
MOB,2005-09-16,10
MOB,2005-09-17,9
MOB,2005-09-18,8
MOB,2005-09-19,8
MOB,2005-09-20,9
MOB,2005-09-21,9
MOB,2005-09-22,8
MOB,2005-09-23,6
MOB,2005-09-24,6
MOB,2005-09-25,6
MOB,2005-09-26,11
MOB,2005-09-27,9
MOB,2005-09-28,9
MOB,2005-09-29,10
MOB,2005-09-30,10
MSY,2005-07-01,150
MSY,2005-07-02,126
MSY,2005-07-03,119
MSY,2005-07-04,143
MSY,2005-07-05,147
MSY,2005-07-06,126
MSY,2005-07-07,145
MSY,2005-07-08,150
MSY,2005-07-09,127
MSY,2005-07-10,128
MSY,2005-07-11,140
MSY,2005-07-12,148
MSY,2005-07-13,147
MSY,2005-07-14,150
MSY,2005-07-15,149
MSY,2005-07-16,126
MSY,2005-07-17,140
MSY,2005-07-18,149
MSY,2005-07-19,148
MSY,2005-07-20,149
MSY,2005-07-21,151
MSY,2005-07-22,150
MSY,2005-07-23,126
MSY,2005-07-24,140
MSY,2005-07-25,149
MSY,2005-07-26,148
MSY,2005-07-27,145
MSY,2005-07-28,149
MSY,2005-07-29,150
MSY,2005-07-30,127
MSY,2005-07-31,139
MSY,2005-08-01,150
MSY,2005-08-02,148
MSY,2005-08-03,149
MSY,2005-08-04,149
MSY,2005-08-05,149
MSY,2005-08-06,126
MSY,2005-08-07,139
MSY,2005-08-08,149
MSY,2005-08-09,146
MSY,2005-08-10,148
MSY,2005-08-11,149
MSY,2005-08-12,148
MSY,2005-08-13,126
MSY,2005-08-14,139
MSY,2005-08-15,144
MSY,2005-08-16,142
MSY,2005-08-17,149
MSY,2005-08-18,148
MSY,2005-08-19,148
MSY,2005-08-20,124
MSY,2005-08-21,137
MSY,2005-08-22,150
MSY,2005-08-23,146
MSY,2005-08-24,147
MSY,2005-08-25,145
MSY,2005-08-26,148
MSY,2005-08-27,126
MSY,2005-08-28,67
MSY,2005-08-29,0
MSY,2005-08-30,0
MSY,2005-08-31,0
MSY,2005-09-01,0
MSY,2005-09-02,0
MSY,2005-09-03,0
MSY,2005-09-04,0
MSY,2005-09-05,0
MSY,2005-09-06,0
MSY,2005-09-07,0
MSY,2005-09-08,0
MSY,2005-09-09,0
MSY,2005-09-10,0
MSY,2005-09-11,0
MSY,2005-09-12,0
MSY,2005-09-13,2
MSY,2005-09-14,2
MSY,2005-09-15,2
MSY,2005-09-16,6
MSY,2005-09-17,9
MSY,2005-09-18,10
MSY,2005-09-19,14
MSY,2005-09-20,15
MSY,2005-09-21,18
MSY,2005-09-22,17
MSY,2005-09-23,7
MSY,2005-09-24,10
MSY,2005-09-25,17
MSY,2005-09-26,18
MSY,2005-09-27,18
MSY,2005-09-28,18
MSY,2005-09-29,18
MSY,2005-09-30,18
